,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
International marine bunkers,1991,0,0,0,0,-5847,0,0,0,0,0,0,0,0,0,-5847,0,0,-5847,0
International marine bunkers,1992,0,0,0,0,-5886,0,0,0,0,0,0,0,0,0,-5886,0,0,-5886,0
International marine bunkers,1993,0,0,0,0,-6604,0,0,0,0,0,0,0,0,0,-6604,0,0,-6604,0
International marine bunkers,1994,0,0,0,0,-6601,0,0,0,0,0,0,0,0,0,-6601,0,0,-6601,0
International marine bunkers,1995,0,0,0,0,-5615,0,0,0,0,0,0,0,0,0,-5615,0,0,-5615,0
International marine bunkers,1996,0,0,0,0,-3928,0,0,0,0,0,0,0,0,0,-3928,0,0,-3928,0
International marine bunkers,1997,0,0,0,0,-5107,0,0,0,0,0,0,0,0,0,-5107,0,0,-5107,0
International marine bunkers,1998,0,0,0,0,-5436,0,0,0,0,0,0,0,0,0,-5436,0,0,-5436,0
International marine bunkers,1999,0,0,0,0,-5151,0,0,0,0,0,0,0,0,0,-5151,0,0,-5151,0
International marine bunkers,2000,0,0,0,0,-5302,0,0,0,0,0,0,0,0,0,-5302,0,0,-5302,0
International marine bunkers,2001,0,0,0,0,-4579,0,0,0,0,0,0,0,0,0,-4579,0,0,-4579,0
International marine bunkers,2002,0,0,0,0,-4791,0,0,0,0,0,0,0,0,0,-4791,0,0,-4791,0
International marine bunkers,2003,0,0,0,0,-5276,0,0,0,0,0,0,0,0,0,-5276,0,0,-5276,0
International marine bunkers,2004,0,0,0,0,-5510,0,0,0,0,0,0,0,0,0,-5510,0,0,-5510,0
International marine bunkers,2005,0,0,0,0,-6195,0,0,0,0,0,0,0,0,0,-6195,0,0,-6195,0
International marine bunkers,2006,0,0,0,0,-5827,0,0,0,0,0,0,0,0,0,-5827,0,0,-5827,0
International marine bunkers,2007,0,0,0,0,-5833,0,0,0,0,0,0,0,0,0,-5833,0,0,-5833,0
International marine bunkers,2008,0,0,0,0,-5308,0,0,0,0,0,0,0,0,0,-5308,0,0,-5308,0
International marine bunkers,2009,0,0,0,0,-4719,0,0,0,0,0,0,0,0,0,-4719,0,0,-4719,0
International marine bunkers,2010,0,0,0,0,-4589,0,0,0,0,0,0,0,0,0,-4589,0,0,-4589,0
International marine bunkers,2011,0,0,0,0,-4104,0,0,0,0,0,0,0,0,0,-4104,0,0,-4104,0
International marine bunkers,2012,0,0,0,0,-4053,0,0,0,0,0,0,0,0,0,-4053,0,0,-4053,0
International marine bunkers,2013,0,0,0,0,-4005,0,0,0,0,0,0,0,0,0,-4005,0,0,-4005,0
International marine bunkers,2014,0,0,0,0,-3841,0,0,0,0,0,0,0,0,0,-3841,0,0,-3841,0
International marine bunkers,2015,0,0,0,0,-4308,0,0,0,0,0,0,0,0,0,-4308,0,0,-4308,0
International marine bunkers,2016,0,0,0,0,-4536,0,0,0,0,0,0,0,0,0,-4536,0,0,-4536,0
International marine bunkers,2017,0,0,0,0,-4246,0,0,0,0,0,0,0,0,0,-4246,0,0,-4246,0
International marine bunkers,2018,0,0,0,0,-4478,0,0,0,0,0,0,0,0,0,-4478,0,0,-4478,0
International marine bunkers,2019,0,0,0,0,-4498,0,0,0,0,0,0,0,0,0,-4498,0,0,-4498,0
International aviation bunkers,1960,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,-50,0,0,-50,0
International aviation bunkers,1961,0,0,0,0,-132,0,0,0,0,0,0,0,0,0,-132,0,0,-132,0
International aviation bunkers,1962,0,0,0,0,-188,0,0,0,0,0,0,0,0,0,-188,0,0,-188,0
International aviation bunkers,1963,0,0,0,0,-231,0,0,0,0,0,0,0,0,0,-231,0,0,-231,0
International aviation bunkers,1964,0,0,0,0,-305,0,0,0,0,0,0,0,0,0,-305,0,0,-305,0
International aviation bunkers,1965,0,0,0,0,-379,0,0,0,0,0,0,0,0,0,-379,0,0,-379,0
International aviation bunkers,1966,0,0,0,0,-507,0,0,0,0,0,0,0,0,0,-507,0,0,-507,0
International aviation bunkers,1967,0,0,0,0,-703,0,0,0,0,0,0,0,0,0,-703,0,0,-703,0
International aviation bunkers,1968,0,0,0,0,-855,0,0,0,0,0,0,0,0,0,-855,0,0,-855,0
International aviation bunkers,1969,0,0,0,0,-973,0,0,0,0,0,0,0,0,0,-973,0,0,-973,0
International aviation bunkers,1970,0,0,0,0,-1068,0,0,0,0,0,0,0,0,0,-1068,0,0,-1068,0
International aviation bunkers,1971,0,0,0,0,-1281,0,0,0,0,0,0,0,0,0,-1281,0,0,-1281,0
International aviation bunkers,1972,0,0,0,0,-1352,0,0,0,0,0,0,0,0,0,-1352,0,0,-1352,0
International aviation bunkers,1973,0,0,0,0,-1736,0,0,0,0,0,0,0,0,0,-1736,0,0,-1736,0
International aviation bunkers,1974,0,0,0,0,-1235,0,0,0,0,0,0,0,0,0,-1235,0,0,-1235,0
International aviation bunkers,1975,0,0,0,0,-1457,0,0,0,0,0,0,0,0,0,-1457,0,0,-1457,0
International aviation bunkers,1976,0,0,0,0,-1561,0,0,0,0,0,0,0,0,0,-1561,0,0,-1561,0
International aviation bunkers,1977,0,0,0,0,-1591,0,0,0,0,0,0,0,0,0,-1591,0,0,-1591,0
International aviation bunkers,1978,0,0,0,0,-1582,0,0,0,0,0,0,0,0,0,-1582,0,0,-1582,0
International aviation bunkers,1979,0,0,0,0,-1186,0,0,0,0,0,0,0,0,0,-1186,0,0,-1186,0
International aviation bunkers,1980,0,0,0,0,-1323,0,0,0,0,0,0,0,0,0,-1323,0,0,-1323,0
International aviation bunkers,1981,0,0,0,0,-1345,0,0,0,0,0,0,0,0,0,-1345,0,0,-1345,0
International aviation bunkers,1982,0,0,0,0,-1955,0,0,0,0,0,0,0,0,0,-1955,0,0,-1955,0
International aviation bunkers,1983,0,0,0,0,-2161,0,0,0,0,0,0,0,0,0,-2161,0,0,-2161,0
International aviation bunkers,1984,0,0,0,0,-2468,0,0,0,0,0,0,0,0,0,-2468,0,0,-2468,0
International aviation bunkers,1985,0,0,0,0,-2574,0,0,0,0,0,0,0,0,0,-2574,0,0,-2574,0
International aviation bunkers,1986,0,0,0,0,-2813,0,0,0,0,0,0,0,0,0,-2813,0,0,-2813,0
International aviation bunkers,1987,0,0,0,0,-3182,0,0,0,0,0,0,0,0,0,-3182,0,0,-3182,0
International aviation bunkers,1988,0,0,0,0,-3591,0,0,0,0,0,0,0,0,0,-3591,0,0,-3591,0
International aviation bunkers,1989,0,0,0,0,-4073,0,0,0,0,0,0,0,0,0,-4073,0,0,-4073,0
International aviation bunkers,1990,0,0,0,0,-4492,0,0,0,0,0,0,0,0,0,-4492,0,0,-4492,0
International aviation bunkers,1991,0,0,0,0,-4740,0,0,0,0,0,0,0,0,0,-4740,0,0,-4740,0
International aviation bunkers,1992,0,0,0,0,-4841,0,0,0,0,0,0,0,0,0,-4841,0,0,-4841,0
International aviation bunkers,1993,0,0,0,0,-4719,0,0,0,0,0,0,0,0,0,-4719,0,0,-4719,0
International aviation bunkers,1994,0,0,0,0,-5311,0,0,0,0,0,0,0,0,0,-5311,0,0,-5311,0
International aviation bunkers,1995,0,0,0,0,-5606,0,0,0,0,0,0,0,0,0,-5606,0,0,-5606,0
International aviation bunkers,1996,0,0,0,0,-6280,0,0,0,0,0,0,0,0,0,-6280,0,0,-6280,0
International aviation bunkers,1997,0,0,0,0,-6516,0,0,0,0,0,0,0,0,0,-6516,0,0,-6516,0
International aviation bunkers,1998,0,0,0,0,-6811,0,0,0,0,0,0,0,0,0,-6811,0,0,-6811,0
International aviation bunkers,1999,0,0,0,0,-6667,0,0,0,0,0,0,0,0,0,-6667,0,0,-6667,0
International aviation bunkers,2000,0,0,0,0,-6604,0,0,0,0,0,0,0,0,0,-6604,0,0,-6604,0
International aviation bunkers,2001,0,0,0,0,-6300,0,0,0,0,0,0,0,0,0,-6300,0,0,-6300,0
International aviation bunkers,2002,0,0,0,0,-7147,0,0,0,0,0,0,0,0,0,-7147,0,0,-7147,0
International aviation bunkers,2003,0,0,0,0,-6922,0,0,0,0,0,0,0,0,0,-6922,0,0,-6922,0
International aviation bunkers,2004,0,0,0,0,-7162,0,0,0,0,0,0,0,0,0,-7162,0,0,-7162,0
International aviation bunkers,2005,0,0,0,0,-7210,0,0,0,0,0,0,0,0,0,-7210,0,0,-7210,0
International aviation bunkers,2006,0,0,0,0,-6750,0,0,0,0,0,0,0,0,0,-6750,0,0,-6750,0
International aviation bunkers,2007,0,0,0,0,-6204,0,0,0,0,0,0,0,0,0,-6204,0,0,-6204,0
International aviation bunkers,2008,0,0,0,0,-5920,0,0,0,0,0,0,0,0,0,-5920,0,0,-5920,0
