TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Finland,44,45,45,47,72,88,85,100,177,148,141,190,549,588,810,640,696,649,698,777,746,711,629,654,570,443,716,732,817,845,767,919,750,606,530,585,544,534,567,562,572,459,504,511,525,596,632,685,700,671,733,746,708,1100,1129,1021,1088,1016,1045,..
France,233,385,703,1074,1030,1168,1279,1708,2188,3130,6883,6807,7627,8584,7735,6471,5696,5532,6608,8591,7390,6601,6711,7382,7522,7938,6979,8013,8106,7884,6990,8707,9026,7335,7977,9463,9062,9839,10150,9981,9985,10341,10007,10347,10259,10481,11285,11689,10451,8958,8834,8860,9230,8949,9778,9291,8634,9319,8345,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,5,5,5,5,0,0,0,0,0,0,0,0,2,0,..
Germany,403,527,626,817,962,1044,3478,4069,5275,5403,5398,5968,6823,8159,8364,6273,8215,8135,9068,10315,12841,11542,11895,12019,13141,13615,12878,13206,14986,15003,15093,14955,15165,14906,16084,16555,15936,16948,17755,17149,17862,17881,17865,16671,17349,17682,16780,16431,15956,15052,15988,15397,15723,15366,15523,14824,14699,16116,14673,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,0,0,0,0,0,0,56,83,81,104,169,148,232,210,162,204,158,141,139,111,122,124,128,123,105,101,113,109,97,119,118,83,82,67,62,98,112,74,44,34,119,129,135,242,246,250,274,266,202,235,412,315,236,192,160,140,194,218,245,..
